Name,RightAscension,Declination,Apparent Magnitude,Constellation
Pollux (star),07h 45m 19.36s,+28° 01′ 34.7″,1.16,Gemini
Castor (star),07h 34m 36.00s,+31° 53′ 19.1″,1.9,Gemini
Gamma Geminorum,06h 37m 42.70s,+16° 23′ 57.9″,1.93,Gemini
Mu Geminorum,06h 22m 57.59s,+22° 30′ 49.9″,2.87,Gemini
Epsilon Geminorum,06h 43m 55.93s,+25° 07′ 52.2″,3.06,Gemini
Eta Geminorum,06h 14m 52.70s,+22° 30′ 24.6″,3.31,Gemini
Xi Geminorum,06h 45m 17.43s,+12° 53′ 45.8″,3.35,Gemini
Delta Geminorum,07h 20m 07.39s,+21° 58′ 56.4″,3.5,Gemini
Kappa Geminorum,07h 44m 26.87s,+24° 23′ 53.3″,3.57,Gemini
Lambda Geminorum,07h 18m 05.61s,+16° 32′ 25.7″,3.58,Gemini
Theta Geminorum,06h 52m 47.34s,+33° 57′ 40.9″,3.6,Gemini
Iota Geminorum,07h 25m 43.68s,+27° 47′ 53.8″,3.78,Gemini
Zeta Geminorum,07h 04m 06.54s,+20° 34′ 13.1″,4.01,Gemini
Upsilon Geminorum,07h 35m 55.37s,+26° 53′ 45.6″,4.06,Gemini
Nu Geminorum,06h 28m 57.79s,+20° 12′ 43.8″,4.13,Gemini
1 Geminorum,06h 04m 07.22s,+23° 15′ 49.1″,4.16,Gemini
Rho Geminorum,07h 29m 06.61s,+31° 47′ 02.7″,4.16,Gemini
Sigma Geminorum,07h 43m 18.69s,+28° 53′ 02.7″,4.23,Gemini
Tau Geminorum,07h 11m 08.39s,+30° 14′ 43.0″,4.41,Gemini
30 Geminorum,06h 43m 59.29s,+13° 13′ 41.3″,4.49,Gemini
38 Geminorum,06h 54m 38.59s,+13° 10′ 40.9″,4.71,Gemini
Omicron Geminorum,07h 39m 09.96s,+34° 35′ 04.7″,4.89,Gemini
81 Geminorum,07h 46m 07.49s,+18° 30′ 36.6″,4.89,Gemini
Chi Geminorum,08h 03m 31.10s,+27° 47′ 39.9″,4.94,Gemini
Phi Geminorum,07h 53m 29.84s,+26° 45′ 57.1″,4.97,Gemini
65 Geminorum,07h 29m 48.78s,+27° 54′ 58.3″,5.01,Gemini
57 Geminorum,07h 23m 28.55s,+25° 03′ 02.2″,5.04,Gemini
74 Geminorum,07h 39m 28.59s,+17° 40′ 28.3″,5.04,Gemini
51 Geminorum,07h 13m 22.27s,+16° 09′ 32.6″,5.07,Gemini
64 Geminorum,07h 29m 20.46s,+28° 07′ 06.3″,5.07,Gemini
56 Geminorum,07h 21m 56.90s,+20° 26′ 37.4″,5.09,Gemini
HD 52960,07h 03m 38.07s,+10° 57′ 06.6″,5.14,Gemini
Pi Geminorum,07h 47m 30.34s,+33° 24′ 56.8″,5.14,Gemini
26 Geminorum,06h 42m 24.32s,+17° 38′ 43.9″,5.2,Gemini
Omega Geminorum,07h 02m 24.78s,+24° 12′ 55.6″,5.2,Gemini
63 Geminorum,07h 27m 44.39s,+21° 26′ 44.0″,5.2,Gemini
68 Geminorum,07h 33m 36.50s,+15° 49′ 36.1″,5.27,Gemini
36 Geminorum,06h 51m 33.05s,+21° 45′ 40.4″,5.28,Gemini
76 Geminorum,07h 44m 06.92s,+25° 47′ 03.2″,5.3,Gemini
HD 60318,07h 35m 08.82s,+30° 57′ 39.3″,5.34,Gemini
85 Geminorum,07h 55m 39.90s,+19° 53′ 02.6″,5.38,Gemini
28 Geminorum,06h 44m 45.46s,+28° 58′ 15.6″,5.42,Gemini
HD 59686,07h 31m 48.37s,+17° 05′ 10.4″,5.45,Gemini
45 Geminorum,07h 08m 22.04s,+15° 55′ 51.3″,5.47,Gemini
HD 53329,07h 06m 11.63s,+34° 28′ 26.7″,5.55,Gemini
NZ Geminorum,07h 42m 03.22s,+14° 12′ 30.7″,5.55,Gemini
HD 46374,06h 33m 36.17s,+14° 09′ 19.3″,5.57,Gemini
70 Geminorum,07h 38m 32.84s,+35° 02′ 54.5″,5.58,Gemini
35 Geminorum,06h 50m 25.50s,+13° 24′ 47.5″,5.68,Gemini
HD 49968,06h 52m 00.01s,+23° 36′ 06.3″,5.68,Gemini
IS Geminorum,06h 49m 41.34s,+32° 36′ 24.8″,5.72,Gemini
41 Geminorum,07h 00m 15.82s,+16° 04′ 44.4″,5.73,Gemini
37 Geminorum,06h 55m 18.69s,+25° 22′ 32.3″,5.73,Gemini
3 Geminorum,06h 09m 43.99s,+23° 06′ 48.5″,5.75,Gemini
47 Geminorum,07h 11m 23.08s,+26° 51′ 24.0″,5.75,Gemini
53 Geminorum,07h 15m 57.18s,+27° 53′ 50.7″,5.75,Gemini
59 Geminorum,07h 24m 33.44s,+27° 38′ 16.1″,5.77,Gemini
HD 52556,07h 02m 17.49s,+15° 20′ 09.8″,5.78,Gemini
HD 61885,07h 41m 51.87s,+13° 28′ 49.8″,5.79,Gemini
5 Geminorum,06h 11m 32.31s,+24° 25′ 13.4″,5.83,Gemini
52 Geminorum,07h 14m 41.94s,+24° 53′ 06.7″,5.84,Gemini
48 Geminorum,07h 12m 26.39s,+24° 07′ 43.3″,5.85,Gemini
33 Geminorum,06h 49m 49.85s,+16° 12′ 10.5″,5.85,Gemini
