HIP,Hpmag,x,y,z
32349,-1.087600,-0.389360,-0.368275,0.844258
30438,-0.553600,0.127630,-0.746647,-0.652862
91262,0.086800,-0.436636,0.168170,0.883781
69673,0.111400,0.904167,0.269632,0.331332
71683,0.137300,-0.413135,-0.003686,0.910663
24436,0.193000,0.339172,0.032198,-0.940173
24608,0.238500,0.347932,0.254882,0.902208
7588,0.423300,0.588558,-0.500391,-0.634987
37279,0.460700,-0.078053,0.486415,-0.870234
27989,0.499700,0.292239,0.318440,0.901772
68702,0.536600,0.691974,0.350900,0.630904
60718,0.673900,-0.261917,-0.928270,-0.264035
97649,0.827300,0.616994,-0.582669,0.528976
65474,0.889100,0.160326,0.038627,0.986308
80763,0.975700,-0.180278,0.198661,-0.963345
21421,1.002400,-0.689085,0.093621,-0.718608
62434,1.153700,0.957282,0.289152,-0.001528
113368,1.180800,-0.087736,0.203320,0.975173
71681,1.242900,-0.409198,-0.001080,0.912445
37826,1.294700,0.965322,0.088822,0.245489
102098,1.296600,-0.212865,0.165103,0.963031
49669,1.323200,0.223181,0.795071,-0.563962
33579,1.416000,0.424362,0.638053,0.642499
85927,1.524400,0.729903,-0.390813,0.560809
25336,1.549300,0.919555,-0.387293,0.066500
36850,1.581100,0.757783,0.467404,0.455299
25428,1.615100,-0.939333,0.102320,-0.327390
26311,1.623500,-0.258953,0.250906,-0.932732
61084,1.629900,0.644141,-0.547179,-0.534488
45238,1.662500,0.821887,0.058391,-0.566650
26727,1.681200,0.339126,0.130243,-0.931681
109268,1.698300,-0.573142,0.803173,-0.162549
39953,1.703400,0.968037,-0.135397,0.211121
62956,1.754500,0.244844,-0.794733,-0.555384
90185,1.798600,-0.900610,0.398999,-0.172340
67301,1.799400,0.519756,-0.257193,-0.814681
100751,1.858300,0.104549,-0.977135,-0.185139
30324,1.891100,0.089686,0.620128,0.779357
15863,1.897200,0.630497,0.669158,-0.393320
28360,1.903800,-0.193598,0.535375,0.822127
86228,1.926900,0.501559,0.233621,0.832983
31681,1.929000,-0.347327,0.687575,-0.637655
42913,1.951100,-0.190809,0.185418,0.963956
54061,1.951900,-0.395820,0.254690,-0.882304
34444,1.962800,0.293165,0.085479,-0.952233
41037,1.999600,-0.983108,0.034525,-0.179740
27366,2.006500,-0.503223,0.829467,0.242385
92855,2.009500,0.188999,0.347764,-0.918335
677,2.037100,0.343658,-0.592303,-0.728750
112122,2.069900,-0.189585,-0.952820,-0.237046
82273,2.071100,0.665882,0.740932,0.087292
14576,2.096900,0.990089,-0.081052,-0.114693
11767,2.107700,0.259805,0.065518,0.963436
86032,2.126200,0.987142,-0.159739,-0.005795
46390,2.135000,0.623496,0.361319,-0.693326
25930,2.136100,0.236920,0.925769,-0.294654
39429,2.136400,-0.036921,-0.668291,-0.742983
4427,2.137900,0.020667,-0.517413,-0.855486
61932,2.146000,-0.080871,0.249314,0.965040
57632,2.160500,-0.097677,-0.410092,0.906798
50583,2.168400,-0.270011,-0.475440,0.837288
9884,2.172600,-0.092055,-0.036441,-0.995087
5447,2.174100,-0.074416,0.480250,-0.873969
72607,2.204400,-0.299637,0.118441,-0.946673
3419,2.206100,-0.064134,-0.647088,0.759713
66657,2.209700,0.717727,0.693798,0.059253
76267,2.221000,-0.004187,-0.010574,0.999935
68933,2.222600,-0.089480,-0.220616,0.971248
71860,2.229600,-0.812205,-0.521636,0.261187
9640,2.240900,-0.073749,0.034834,-0.996668
65378,2.254000,-0.052260,0.004243,-0.998624
78401,2.261700,-0.198632,-0.782946,0.589526
71352,2.272900,-0.128248,0.215810,0.967977
45556,2.282200,-0.461243,-0.790375,-0.403189
86670,2.316400,-0.037263,0.234751,-0.971341
44816,2.338500,0.284195,-0.803942,0.522409
53910,2.349900,-0.495445,0.852716,-0.165557
100453,2.354800,0.567558,0.611435,0.551385
746,2.357900,0.566347,-0.644110,0.514172
87833,2.361700,0.176580,-0.291003,0.940286
3179,2.410700,-0.763610,-0.645580,-0.011258
45941,2.413100,-0.021826,0.024508,0.999461
35904,2.421500,0.248568,0.452023,0.856673
58001,2.428600,0.784028,-0.552097,-0.283707
84012,2.439300,-0.999722,0.016167,0.017184
68002,2.441900,-0.030346,-0.986054,0.163637
82396,2.453200,-0.335937,-0.904763,-0.261822
113963,2.478400,-0.715829,-0.505522,0.481702
113881,2.486100,-0.915973,-0.353023,0.190704
105199,2.514100,0.676804,-0.694581,-0.243912
72105,2.516700,-0.084480,-0.352219,0.932097
59196,2.524100,0.890675,-0.109755,-0.441193
107315,2.546000,-0.700528,0.565585,-0.435172
59803,2.547700,-0.043707,0.256498,0.965556
2081,2.551200,-0.101833,-0.030067,0.994347
81377,2.570800,0.186999,0.370970,0.909622
74785,2.573900,0.995574,-0.084124,-0.041899
54872,2.593200,-0.045158,0.093125,0.994630
78820,2.594000,-0.493845,0.298259,-0.816798
73273,2.598200,0.006127,-0.661133,0.750243
85696,2.604300,0.330885,-0.858162,0.392521
